Monthly Total Precipitation for NEW BRUNSWICK EXPERIMENT STATION, NJ
For each month: monthly value and monthly number of missing days

Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
1912, 2.73, 0, 2.95, 0, 9.06, 0, 4.11, 1, 5.57, 0, 2.03, 0, 2.61, 0, 3.46, 0, 3.45, 0, 3.03, 0, 4.00, 0, 5.00, 0, 48.00
1913, 3.10, 0, 2.39, 0, 4.88, 1, 5.33, 0, 3.39, 0, 1.35, 0, 3.62, 0, 2.23, 0, 3.08, 0, 7.37, 0, 2.20, 0, 3.21, 0, 42.15
1914, 4.82, 0, 2.52, 1, 3.31, 0, 3.00, 0, 3.65, 0, 2.32, 0, 5.23, 1, 1.88, 0, 0.41, 0, 1.61, 0, 2.87, 0, 4.97, 0, 36.59
1915, 6.03, 0, 5.81, 0, 0.75, 0, 2.75, 0, 3.68, 1, 2.66, 0, 5.96, 0, 10.03, 1, 2.06, 0, 1.84, 1, 1.61, 0, 4.16, 0, 47.34
1916, 1.48, 0, 4.42, 0, 3.12, 0, 3.49, 1, 2.75, 1, 3.39, 0, 6.96, 0, 2.61, 0, 2.53, 0, 1.38, 0, 1.95, 0, 5.24, 0, 39.32
1917, 2.57, 1, 1.42, 1, 3.87, 0, 2.49, 0, 3.87, 0, 3.62, 0, 6.90, 1, 0.76, 1, 3.63, 0, 7.34, 0, 0.54, 0, 2.13, 1, 39.14
1918, 2.72, 2, 2.69, 0, 1.58, 1, 3.11, 0, 5.09, 2, 4.34, 0, 4.54, 0, 2.55, 0, 3.15, 1, 1.30, 0, 2.15, 1, 3.34, 1, 36.56
1919, 2.96, 1, 3.60, 0, 5.64, 1, 2.73, 0, 4.42, 2, 5.31, 0, 8.33, 0, 6.30, 0, 2.01, 0, 3.13, 0, 3.72, 0, 2.67, 0, 50.82
1920, 2.64, 0, 3.95, 0, 3.56, 0, 4.28, 0, 3.56, 0, 9.22, 1, 6.00, 0, 7.83, 1, 2.23, 0, 2.35, 0, 3.81, 1, 5.02, 0, 54.45
1921, 2.63, 0, 3.59, 0, 2.28, 0, 2.34, 0, 6.42, 3, 1.92, 0, 7.36, 0, 6.96, 0, 2.27, 0, 0.53, 0, 3.55, 0, 2.29, 0, 42.14
1922, 2.06, 0, 2.65, 0, 4.28, 0, 2.74, 0, 4.41, 0, 7.59, 0, 6.28, 0, 4.39, 0, 1.70, 0, 1.67, 0, 0.77, 0, 3.98, 0, 42.52
1923, 4.60, 0, 2.00, 0, 4.08, 0, 2.55, 0, 1.36, 0, 1.10, 0, 3.93, 0, 1.29, 0, 3.87, 0, 4.22, 0, 2.12, 0, 4.06, 0, 35.18
1924, 5.03, 0, 4.12, 0, 2.29, 0, 5.92, 0, 6.08, 0, 3.19, 0, 2.75, 0, 6.90, 0, 5.18, 0, 0.28, 0, 1.53, 0, 2.38, 0, 45.65
1925, 3.62, 0, 2.21, 0, 3.17, 0, 2.80, 0, 2.94, 0, 2.01, 0, 4.28, 1, 2.07, 0, 3.42, 0, 5.22, 0, 2.48, 0, 2.27, 3, 36.49
1926, 1.89, 7, 3.33, 0, 1.89, 0, 1.79, 0, 2.11, 0, 2.70, 0, 4.62, 0, 8.30, 0, 7.09, 0, 5.28, 0, 3.78, 0, 3.00, 0, 45.78
1927, 1.97, 0, 2.49, 0, 0.78, 0, 2.84, 0, 3.72, 0, 2.80, 0, 6.98, 0, 9.62, 0, 2.18, 0, 10.34, 0, 2.88, 0, 4.31, 0, 50.91
1928, 1.54, 0, 4.64, 0, 1.72, 0, 4.32, 0, 1.91, 0, 7.18, 0, 8.66, 0, 5.87, 0, 4.46, 0, 2.02, 0, 1.56, 0, 1.64, 0, 45.52
1929, 2.78, 0, 3.69, 0, 2.22, 0, 6.90, 0, 3.93, 0, 5.37, 0, 2.94, 0, 2.41, 0, 5.59, 0, 4.11, 0, 2.21, 0, 2.93, 0, 45.08
1930, 2.65, 0, 3.00, 0, 2.31, 0, 2.18, 0, 2.54, 0, 4.39, 0, 4.08, 0, 2.88, 0, 1.43, 0, 1.77, 0, 3.27, 0, 2.40, 0, 32.90
1931, 2.24, 0, 2.37, 0, 3.49, 0, 2.37, 0, 3.24, 0, 4.60, 0, 5.65, 0, 5.24, 0, 1.16, 0, 2.54, 0, 0.72, 0, 2.15, 0, 35.77
1932, 4.45, 0, 1.68, 0, 5.42, 0, 1.97, 0, 2.09, 0, 4.07, 0, 1.49, 0, 3.46, 0, 3.46, 0, 4.93, 0, 7.39, 0, 2.75, 0, 43.16
1933, 1.77, 0, 2.78, 0, 5.32, 0, 4.30, 0, 6.80, 0, 2.85, 0, 3.12, 0, 9.62, 0, 5.26, 0, 1.76, 0, 0.86, 0, 2.51, 0, 46.95
1934, 3.23, 0, 2.78, 0, 2.94, 0, 3.70, 0, 4.07, 0, 3.92, 0, 2.22, 0, 3.05, 0, 9.13, 0, 3.30, 0, 1.89, 0, 2.17, 0, 42.40
1935, 2.99, 0, 2.83, 0, 2.46, 0, 2.26, 0, 2.17, 0, 3.62, 0, 6.23, 0, 1.35, 0, 5.71, 0, 5.08, 0, 5.22, 0, 1.45, 0, 41.37
1936, 6.21, 0, 2.20, 0, 4.14, 0, 2.97, 0, 4.33, 0, 4.92, 0, 1.20, 0, 3.69, 0, 4.50, 0, 3.98, 0, 0.99, 0, 6.84, 0, 45.97
1937, 5.86, 0, 1.45, 0, 2.28, 0, 5.01, 0, 2.45, 0, 3.35, 0, 2.86, 0, 7.62, 0, 3.15, 0, 4.10, 0, 3.54, 0, 1.08, 0, 42.75
1938, 3.34, 0, 2.12, 0, 2.21, 0, 3.00, 0, 3.55, 0, 6.03, 0, 7.77, 0, 1.70, 0, 10.28, 0, 2.30, 0, 3.64, 0, 2.68, 0, 48.62
1939, 3.53, 0, 5.52, 0, 4.42, 0, 3.89, 0, 0.80, 0, 3.48, 0, 2.77, 0, 4.27, 0, 1.81, 0, 4.09, 0, 1.74, 0, 1.13, 0, 37.45
1940, 1.62, 0, 3.11, 0, 4.20, 0, 5.50, 0, 6.74, 0, 3.24, 0, 2.00, 0, 5.04, 0, 4.72, 0, 2.49, 0, 4.12, 0, 3.12, 0, 45.90
1941, 3.30, 0, 2.26, 0, 2.86, 0, 2.54, 0, 2.34, 0, 4.63, 0, 7.10, 0, 3.44, 0, 0.04, 0, 1.15, 0, 3.06, 0, 3.42, 0, 36.14
1942, 3.12, 0, 2.84, 0, 5.92, 0, 1.24, 0, 2.29, 0, 3.60, 0, 6.96, 0, 6.69, 0, 5.54, 0, 2.75, 0, 5.19, 0, 4.14, 0, 50.28
1943, 2.65, 0, 1.61, 0, 2.89, 0, 1.70, 0, 5.43, 0, 4.14, 0, 3.28, 0, 2.52, 0, 2.41, 0, 6.46, 0, 2.50, 0, 1.12, 0, 36.71
1944, 4.46, 0, 2.60, 0, 5.70, 0, 5.13, 0, 2.10, 0, 3.40, 0, 0.68, 0, 2.30, 0, 12.63, 0, 1.94, 0, 6.76, 0, 2.84, 0, 50.54
1945, 2.62, 0, 2.65, 0, 2.11, 0, 2.99, 0, 4.51, 0, 4.45, 0, 10.07, 0, 2.67, 0, 7.86, 0, 2.92, 0, 5.21, 0, 3.90, 0, 51.96
1946, 1.48, 0, 1.34, 0, 3.37, 0, 1.00, 0, 5.44, 0, 5.06, 0, 7.70, 0, 4.33, 0, 3.35, 0, 1.40, 0, 1.49, 0, 2.42, 0, 38.38
1947, 2.89, 0, 2.14, 0, 2.33, 0, 4.18, 0, 6.63, 0, 3.07, 0, 6.01, 0, 2.85, 0, 2.09, 0, 2.15, 0, 7.16, 0, 3.28, 0, 44.78
1948, 4.42, 0, 2.43, 0, 2.42, 1, 3.25, 0, 6.63, 0, 6.68, 0, 3.84, 1, 7.51, 0, 1.69, 0, 1.41, 0, 3.16, 0, 6.14, 0, 49.58
1949, 6.14, 0, 3.35, 0, 2.74, 0, 3.69, 0, 4.68, 0, 0.02, 0, 3.97, 0, 2.96, 0, 4.95, 0, 2.60, 0, 1.19, 0, 2.79, 0, 39.08
1950, 2.37, 0, 3.82, 0, 3.53, 0, 2.19, 0, 2.64, 1, 2.28, 0, 6.78, 0, 4.57, 0, 1.76, 0, 1.42, 0, 5.10, 0, 3.42, 0, 39.88
1951, 3.02, 0, 4.16, 0, 4.75, 0, 3.21, 0, 4.02, 0, 3.62, 0, 4.26, 0, 2.98, 0, 0.87, 0, 4.99, 0, 6.67, 0, 4.71, 0, 47.26
1952, 4.81, 0, 2.18, 2, 3.82, 0, 5.84, 0, 5.87, 0, 4.65, 0, 4.90, 0, 7.35, 0, 3.36, 0, 0.63, 0, 3.58, 0, 2.74, 0, 49.73
1953, 5.31, 0, 2.26, 0, 7.84, 0, 5.46, 0, 4.64, 0, 3.25, 0, 2.96, 0, 2.86, 0, 1.09, 0, 3.88, 0, 1.98, 0, 4.24, 0, 45.77
1954, 1.91, 0, 1.88, 0, 3.54, 0, 3.64, 0, 3.67, 0, 1.64, 0, 1.11, 0, 7.74, 0, 5.66, 0, 2.83, 0, 5.46, 0, 3.32, 0, 42.40
1955, 0.71, 0, 2.52, 0, 4.68, 0, 2.45, 0, 1.84, 0, 2.63, 0, 1.43, 0, 13.77, 0, 1.83, 0, 6.80, 0, 2.21, 0, 0.17, 0, 41.04
1956, 2.22, 0, 5.09, 0, 3.31, 0, 3.23, 0, 2.84, 0, 3.15, 0, 3.93, 0, 4.67, 0, 3.19, 0, 3.50, 0, 4.33, 0, 4.12, 0, 43.58
1957, 2.02, 0, 2.51, 0, 2.98, 0, 5.66, 0, 0.96, 0, 2.19, 0, 1.31, 0, 3.66, 0, 2.32, 0, 2.03, 0, 3.92, 0, 5.44, 1, 35.00
1958, 5.46, 0, 4.10, 0, 4.53, 0, 5.97, 0, 4.09, 0, 2.99, 0, 5.86, 0, 3.27, 0, 3.28, 0, 6.26, 0, 2.33, 0, 1.67, 1, 49.81
1959, 2.36, 0, 1.82, 0, 3.46, 0, 2.53, 0, 1.26, 0, 3.60, 0, 7.32, 0, 5.92, 0, 0.78, 0, 3.33, 0, 4.28, 0, 4.66, 0, 41.32
1960, 3.58, 0, 4.65, 0, 1.65, 0, 3.67, 0, 4.25, 0, 1.17, 0, 11.10, 0, 3.92, 0, 7.84, 0, 1.84, 0, 3.33, 0, 2.41, 0, 49.41
1961, 2.86, 0, 2.83, 0, 5.95, 0, 3.99, 2, 3.46, 0, 3.10, 0, 5.58, 0, 6.32, 0, 2.60, 0, 2.81, 0, 2.26, 0, 3.77, 0, 45.53
1962, 2.71, 0, 4.13, 0, 3.19, 0, 3.92, 0, 2.06, 0, 3.66, 1, 2.65, 0, 4.11, 0, 4.46, 0, 2.39, 0, 4.62, 0, 2.11, 0, 40.01
1963, 2.18, 0, 1.38, 0, 4.01, 1, 0.65, 0, 1.83, 0, 1.10, 1, 3.64, 0, 1.57, 0, 6.09, 0, 0.25, 0, 8.33, 0, 1.92, 0, 32.95
1964, 3.91, 0, 3.06, 0, 1.95, 0, 4.49, 0, 1.34, 0, 2.37, 0, 7.37, 0, 0.82, 0, 2.86, 0, 2.20, 0, 2.04, 0, 5.07, 0, 37.48
1965, 3.04, 0, 2.30, 0, 3.25, 0, 2.77, 0, 1.22, 0, 0.89, 0, 2.40, 0, 2.98, 0, 3.09, 0, 1.81, 0, 1.58, 0, 2.18, 0, 27.51
1966, 2.96, 0, 3.93, 0, 1.84, 0, 3.16, 0, 5.94, 0, 0.58, 0, 1.22, 0, 2.92, 0, 10.96, 0, 5.09, 0, 2.80, 0, 3.77, 0, 45.17
1967, 1.70, 0, 2.20, 0, 5.64, 0, 2.19, 0, 5.41, 0, 3.28, 0, 7.11, 0, 9.00, 0, 2.17, 0, 2.53, 0, 2.29, 0, 5.54, 0, 49.06
1968, 3.78, 0, 0.95, 0, 4.44, 0, 1.64, 0, 9.18, 0, M, 30, M, 31, M, 31, M, 30, M, 31, M, 30, M, 31, 19.99
